барабанить (drum) 1.jpg
бежать (run) 2.jpg
бинтовать (bandage tr) 3.jpg
бить (beat) 4.jpg
блеять (bleat) 5.jpg
болеть (be ill) 6.jpg
бомбить (bomb) 7.jpg
бороться (wrestle) 8.jpg
бояться (be afraid) 9.jpg
брить (shave tr) 10.jpg
бриться (shave intr) 11.jpg
буксовать (skid) 12.jpg
варить (boil (cook by boiling)) 13.jpg
вариться (be boiled (cooked by boiling)) 14.jpg
вбегать (run into) 15.jpg
везти (drag) 16.jpg
вести (drive) 17.jpg
вешать (hang tr) 18.jpg
взвешивать (weight tr) 19.jpg
взвешиваться (weight intr) 20.jpg
взламывать (break open) 21.jpg
взлетать (fly up) 22.jpg
взрывать (blow up) 23.jpg
висеть (hang intr) 24.jpg
вить (nest) 25.jpg
вспоминать (remember) 26.jpg
вставать (get up) 27.jpg
выбивать (beat out) 28.jpg
выбрасывать (throw away) 29.jpg
выгуливать (walk (a dog)) 30.jpg
выдавливать (squeeze out) 31.jpg
выезжать (drive out) 32.jpg
выжимать (wring out) 33.jpg
вылетать (fly out) 34.jpg
выливать (pour out) 35.jpg
выплывать (sail out) 36.jpg
выползать (crawl out) 37.jpg
выпрыгивать (jump out) 38.jpg
вырезать (cut out) 39.jpg
высиживать (hatch) 40.jpg
высыпать (pour out (about dry substances)) 41.jpg
вытирать (wipe tr) 42.jpg
вытираться (wipe intr) 43.jpg
выть (howl) 44.jpg
выходить (walk out) 45.jpg
вышивать (embroider) 46.jpg
вязать (knit) 47.jpg
вянуть (fade) 48.jpg
гадать (tell fortunes) 49.jpg
гладить (stroke) 50.jpg
гладить (iron) 51.jpg
гнаться (chase) 52.jpg
гнуть (bend) 53.jpg
голосовать (vote) 54.jpg
гореть (burn) 55.jpg
готовить (cook) 56.jpg
грести (raw) 57.jpg
греться (warm up) 58.jpg
грузить (load) 59.jpg
грустить (be sad) 60.jpg
грызть (gnaw) 61.jpg
гулять (walk intr) 62.jpg
давать (give) 63.jpg
давить (crush) 64.jpg
дарить (give as a gift) 65.jpg
двигать (move) 66.jpg
дергать (pull) 67.jpg
держать (hold) 68.jpg
дирижировать (conduct) 69.jpg
дирижировать (conduct) 70.jpg
доить (milk) 71.jpg
драться (fight) 72.jpg
дудеть (blow (a music instrument)) 73.jpg
думать (think) 74.jpg
дуть (blow) 75.jpg
душить (strangle) 76.jpg
душить (strangle) 77.jpg
душиться (use perfume) 78.jpg
есть (eat) 79.jpg
есть (eat) 80.jpg
ехать (ride) 81.jpg
жалить (sting) 82.jpg
жарить (roast) 83.jpg
ждать (wait) 84.jpg
жениться (get married) 85.jpg
жонглировать (juggle) 86.jpg
забивать (hammer in) 87.jpg
заводить (wind up) 88.jpg
завязывать (tie) 89.jpg
завязывать (tie up) 90.jpg
загорать (sunbathe) 91.jpg
зажигать (light tr) 93.jpg
заклеивать (seal up) 94.jpg
заколачивать (board up) 95.jpg
закрашивать (paint over) 96.jpg
закрывать (close) 97.jpg
заправлять (fill up) 100.jpg
запрыгивать (jump in) 101.jpg
заряжать (load) 102.jpg
застегивать (buckle) 103.jpg
затыкать (plug) 104.jpg
затыкать (plug) 105.jpg
звать (call) 106.jpg
звонить (ring) 107.jpg
здороваться (greet) 108.jpg
